Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
CO2 emissions (kt),EN.ATM.CO2E.KT,Faroe Islands,FRO,689.396,762.736,733.4,748.068,766.403,722.399,678.395,689.396,630.724,575.719,630.724,568.385,590.387,594.054,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Fiji,FJI,865.412,1114.768,836.076,861.745,1133.103,1364.124,1360.457,1202.776,502.379,1067.097,1598.812,1591.478,1595.145,1708.822,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Finland,FIN,52427.099,57051.186,61682.607,69130.284,67091.432,54645.634,66200.351,63985.483,56519.471,53149.498,61909.961,56636.815,48826.105,46299.542,,
CO2 emissions (kt),EN.ATM.CO2E.KT,France,FRA,362090.581,377389.305,374917.747,380520.923,383579.201,385170.679,375552.138,368914.868,366069.276,351632.297,352769.067,331537.137,332956.266,333190.954,,
CO2 emissions (kt),EN.ATM.CO2E.KT,French Polynesia,PYF,568.385,678.395,707.731,770.07,762.736,821.408,825.075,817.741,843.41,847.077,858.078,832.409,814.074,821.408,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Gabon,GAB,4693.76,4800.103,4572.749,4642.422,4686.426,4888.111,4173.046,4118.041,4165.712,4330.727,4536.079,4470.073,4580.083,4756.099,,
CO2 emissions (kt),EN.ATM.CO2E.KT,"Gambia, The",GMB,275.025,282.359,315.362,315.362,322.696,322.696,337.364,396.036,410.704,436.373,473.043,436.373,473.043,491.378,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Georgia,GEO,4536.079,3769.676,3388.308,3773.343,4323.393,5067.794,6149.559,6420.917,5166.803,5914.871,5555.505,6882.959,7356.002,7510.016,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Germany,DEU,829977.779,853662.932,829724.756,822812.461,816802.248,797180.131,816472.218,780546.619,780564.954,721940.625,758537.285,732120.217,739300.203,757312.507,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Ghana,GHA,6288.905,6919.629,7422.008,7631.027,7348.668,6992.969,9358.184,9827.56,9138.164,7708.034,9955.905,9831.227,11877.413,14620.329,,
